gene_name,uniprot,hgnc_symbol,ensembl
TUBB,P07437,TUBB,ENSG00000227739
DDR1,Q08345,DDR1,ENSG00000230456
PTPRC,P08575,PTPRC,ENSG00000081237
NDP,Q00604,NDP,ENSG00000124479
CRTAM,O95727,CRTAM,ENSG00000109943
S1PR3,Q99500,S1PR3,ENSG00000213694
MS4A2,Q01362,MS4A2,ENSG00000149534
MAGI3,Q5TCQ9,MAGI3,ENSG00000081026
IL12B,P29460,IL12B,ENSG00000113302
AVPR1A,P37288,AVPR1A,ENSG00000166148
FGF3,P11487,FGF3,ENSG00000186895
KIR2DL1,P43626,KIR2DL1,ENSG00000278821
IFNA8,P32881,IFNA8,ENSG00000120242
MAPT,P10636,MAPT,ENSG00000277956
C2,P06681,C2,ENSG00000235017
FGF22,Q9HCT0,FGF22,ENSG00000070388
ENG,P17813,ENG,ENSG00000106991
BMP15,O95972,BMP15,ENSG00000130385
KIR2DL4,Q99706,KIR2DL4,ENSG00000278074
CCL17,Q92583,CCL17,ENSG00000102970
CKM,P06732,CKM,ENSG00000104879
SEMA3E,O15041,SEMA3E,ENSG00000170381
ATG5,Q9H1Y0,ATG5,ENSG00000057663
ITGA11,Q9UKX5,ITGA11,ENSG00000137809
DAG1,Q14118,DAG1,ENSG00000173402
TLR3,O15455,TLR3,ENSG00000164342
CD55,P08174,CD55,ENSG00000196352
TDGF1,P13385,TDGF1,ENSG00000241186
CASP4,P49662,CASP4,ENSG00000196954
MDK,P21741,MDK,ENSG00000110492
HLA-DRB1,Q9GIY3,HLA-DRB1,ENSG00000206240
CSF3,P09919,CSF3,ENSG00000108342
MAPT,P10636,MAPT,ENSG00000276155
KIR2DL4,Q99706,KIR2DL4,ENSG00000274232
CNP,P09543,CNP,ENSG00000173786
DRD4,P21917,DRD4,ENSG00000276825
ABCC8,Q09428,ABCC8,ENSG00000006071
HLA-DRB1,Q29974,HLA-DRB1,ENSG00000196126
ADIPOQ,Q15848,ADIPOQ,ENSG00000181092
SLC7A11,Q9UPY5,SLC7A11,ENSG00000151012
KIR3DL2,P43630,KIR3DL2,ENSG00000275083
RYK,P34925,RYK,ENSG00000163785
VAMP2,P63027,VAMP2,ENSG00000220205
VGF,O15240,VGF,ENSG00000128564
C1QB,P02746,C1QB,ENSG00000173369
SEMA3F,Q13275,SEMA3F,ENSG00000001617
MAGI2,Q86UL8,MAGI2,ENSG00000187391
PDK1,Q15118,PDK1,ENSG00000152256
C2,P06681,C2,ENSG00000166278
PARD6B,Q9BYG5,PARD6B,ENSG00000124171
MYF5,P13349,MYF5,ENSG00000111049
PLXNC1,O60486,PLXNC1,ENSG00000136040
NLGN2,Q8NFZ4,NLGN2,ENSG00000169992
IL17C,Q9P0M4,IL17C,ENSG00000124391
LRPAP1,P30533,LRPAP1,ENSG00000163956
ACHE,P22303,ACHE,ENSG00000087085
CD209,Q9NNX6,CD209,ENSG00000090659
LILRA4,P59901,LILRA4,ENSG00000276798
CCL25,O15444,CCL25,ENSG00000131142
GUCY2D,Q02846,GUCY2D,ENSG00000132518
TJP1,Q07157,TJP1,ENSG00000277401
TRAF3,Q13114,TRAF3,ENSG00000131323
EPHA5,P54756,EPHA5,ENSG00000145242
NCR3,O14931,NCR3,ENSG00000223833
RAC3,P60763,RAC3,ENSG00000169750
THPO,P40225,THPO,ENSG00000090534
IL17RE,Q8NFR9,IL17RE,ENSG00000163701
AKR1B1,P15121,AKR1B1,ENSG00000085662
ADORA2B,P29275,ADORA2B,ENSG00000170425
CCND1,P24385,CCND1,ENSG00000110092
HLA-C,P30504,HLA-C,ENSG00000206435
KLB,Q86Z14,KLB,ENSG00000134962
RSPO3,Q9BXY4,RSPO3,ENSG00000146374
CEACAM6,P40199,CEACAM6,ENSG00000086548
KCNMB2,Q9Y691,KCNMB2,ENSG00000197584
NRCAM,Q92823,NRCAM,ENSG00000091129
ECM1,Q16610,ECM1,ENSG00000143369
FERMT2,Q96AC1,FERMT2,ENSG00000073712
RAC1,P63000,RAC1,ENSG00000136238
SERPINC1,P01008,SERPINC1,ENSG00000117601
IL18,Q14116,IL18,ENSG00000150782
CYP11A1,P05108,CYP11A1,ENSG00000140459
HAMP,P81172,HAMP,ENSG00000105697
TNFRSF25,Q93038,TNFRSF25,ENSG00000215788
ACE2,Q9BYF1,ACE2,ENSG00000130234
DEFB103B,P81534,DEFB103B,ENSG00000176797
SAA1,P0DJI8,SAA1,ENSG00000173432
RGMB,Q6NW40,RGMB,ENSG00000174136
ABCB1,P08183,ABCB1,ENSG00000085563
HLA-B,Q29940,HLA-B,ENSG00000206450
TNFRSF8,P28908,TNFRSF8,ENSG00000120949
ADM2,Q7Z4H4,ADM2,ENSG00000128165
MTM1,Q13496,MTM1,ENSG00000171100
IL12RB1,P42701,IL12RB1,ENSG00000096996
NPR1,P16066,NPR1,ENSG00000169418
NOTCH2,Q04721,NOTCH2,ENSG00000134250
GABBR1,Q9UBS5,GABBR1,ENSG00000237051
CDON,Q4KMG0,CDON,ENSG00000064309
ATP6AP2,O75787,ATP6AP2,ENSG00000182220
RARA,P10276,RARA,ENSG00000131759
IL23R,Q5VWK5,IL23R,ENSG00000162594
ELMO2,Q96JJ3,ELMO2,ENSG00000062598
NPR3,P17342,NPR3,ENSG00000113389
STAB2,Q8WWQ8,STAB2,ENSG00000136011
CP,P00450,CP,ENSG00000047457
ABCC1,P33527,ABCC1,ENSG00000278183
GALR1,P47211,GALR1,ENSG00000166573
APRT,P07741,APRT,ENSG00000198931
HLA-DRB1,Q9GIY3,HLA-DRB1,ENSG00000196126
SERPINA4,P29622,SERPINA4,ENSG00000100665
SERPINF2,P08697,SERPINF2,ENSG00000167711
TUBA4A,P68366,TUBA4A,ENSG00000127824
KIR2DL3,P43628,KIR2DL3,ENSG00000284510
HLA-DRB1,P01912,HLA-DRB1,ENSG00000206306
HLA-C,P04222,HLA-C,ENSG00000225691
PTPN22,Q9Y2R2,PTPN22,ENSG00000134242
LEFTY2,O00292,LEFTY2,ENSG00000143768
PDGFC,Q9NRA1,PDGFC,ENSG00000145431
F7,P08709,F7,ENSG00000057593
GABRA4,P48169,GABRA4,ENSG00000109158
PARK7,Q99497,PARK7,ENSG00000116288
ITGB3,P05106,ITGB3,ENSG00000259207
DDX17,Q92841,DDX17,ENSG00000100201
CTNND2,Q9UQB3,CTNND2,ENSG00000169862
KIR2DL3,P43628,KIR2DL3,ENSG00000273887
IGF1R,P08069,IGF1R,ENSG00000140443
KIR2DS1,Q14954,KIR2DS1,ENSG00000278120
ATP1B4,Q9UN42,ATP1B4,ENSG00000101892
AQP1,P29972,AQP1,ENSG00000240583
FFAR2,O15552,FFAR2,ENSG00000126262
CR1,P17927,CR1,ENSG00000203710
DRD4,P21917,DRD4,ENSG00000069696
MPL,P40238,MPL,ENSG00000117400
ITGB3BP,Q13352,ITGB3BP,ENSG00000142856
SRF,P11831,SRF,ENSG00000112658
KIR2DS3,Q14952,KIR2DS3,ENSG00000278306
CD3D,P04234,CD3D,ENSG00000167286
TUBB4B,P68371,TUBB4B,ENSG00000188229
KIR2DL2,P43627,KIR2DL2,ENSG00000276731
CGA,P01215,CGA,ENSG00000135346
FGFR1,P11362,FGFR1,ENSG00000077782
PPARA,Q07869,PPARA,ENSG00000186951
HLA-A,P05534,HLA-A,ENSG00000224320
LTK,P29376,LTK,ENSG00000062524
ANGPTL3,Q9Y5C1,ANGPTL3,ENSG00000132855
ARHGAP35,Q9NRY4,ARHGAP35,ENSG00000160007
KIR2DL4,Q99706,KIR2DL4,ENSG00000278271
CNTN2,Q02246,CNTN2,ENSG00000184144
KIR2DS4,P43632,KIR2DS4,ENSG00000283882
FLT1,P17948,FLT1,ENSG00000102755
RXFP3,Q9NSD7,RXFP3,ENSG00000182631
GJB2,P29033,GJB2,ENSG00000165474
ASIC1,P78348,ASIC1,ENSG00000110881
PIDD1,Q9HB75,PIDD1,ENSG00000177595
HLA-DRA,P01903,HLA-DRA,ENSG00000230726
PIK3CB,P42338,PIK3CB,ENSG00000051382
THBS3,P49746,THBS3,ENSG00000169231
IL18RAP,O95256,IL18RAP,ENSG00000115607
PDE4D,Q08499,PDE4D,ENSG00000113448
ITPR3,Q14573,ITPR3,ENSG00000096433
FGF17,O60258,FGF17,ENSG00000158815
DEFB103B,P81534,DEFB103B,ENSG00000273641
NRP1,O14786,NRP1,ENSG00000099250
SCARB1,Q8WTV0,SCARB1,ENSG00000073060
GRP,P07492,GRP,ENSG00000134443
PSAP,P07602,PSAP,ENSG00000197746
GGCX,P38435,GGCX,ENSG00000115486
ARHGAP5,Q13017,ARHGAP5,ENSG00000100852
IL2RB,P14784,IL2RB,ENSG00000100385
KIR2DS1,Q14954,KIR2DS1,ENSG00000284120
ZYX,Q15942,ZYX,ENSG00000159840
CSHL1,Q14406,CSHL1,ENSG00000204414
LTB,Q06643,LTB,ENSG00000238114
TUBB,P07437,TUBB,ENSG00000224156
COL4A3,Q01955,COL4A3,ENSG00000169031
SOS1,Q07889,SOS1,ENSG00000115904
SEMA4C,Q9C0C4,SEMA4C,ENSG00000168758
FERMT3,Q86UX7,FERMT3,ENSG00000149781
RPN1,P04843,RPN1,ENSG00000163902
ATG7,O95352,ATG7,ENSG00000197548
SFRP2,Q96HF1,SFRP2,ENSG00000145423
ANGPT1,Q15389,ANGPT1,ENSG00000154188
ALPI,P09923,ALPI,ENSG00000163295
ADORA1,P30542,ADORA1,ENSG00000163485
CCL3L1,P16619,CCL3L1,ENSG00000277336
FGF20,Q9NP95,FGF20,ENSG00000078579
HLA-C,Q29960,HLA-C,ENSG00000237022
DDX3X,O00571,DDX3X,ENSG00000215301
KLK2,P20151,KLK2,ENSG00000167751
SCT,P09683,SCT,ENSG00000274473
MME,P08473,MME,ENSG00000196549
GALR3,O60755,GALR3,ENSG00000128310
CNR1,P21554,CNR1,ENSG00000118432
CDIPT,O14735,CDIPT,ENSG00000103502
IFNA13,P01562,IFNA13,ENSG00000233816
PLCB3,Q01970,PLCB3,ENSG00000149782
FLOT1,O75955,FLOT1,ENSG00000206480
RGCC,Q9H4X1,RGCC,ENSG00000102760
RUNX3,Q13761,RUNX3,ENSG00000020633
VAPA,Q9P0L0,VAPA,ENSG00000101558
PRKAR1A,P10644,PRKAR1A,ENSG00000108946
PF4,P02776,PF4,ENSG00000163737
CYTH4,Q9UIA0,CYTH4,ENSG00000100055
LFNG,Q8NES3,LFNG,ENSG00000106003
PDE4B,Q07343,PDE4B,ENSG00000184588
PLA2G6,O60733,PLA2G6,ENSG00000184381
DBH,P09172,DBH,ENSG00000123454
NCR3,O14931,NCR3,ENSG00000225211
LILRA4,P59901,LILRA4,ENSG00000274185
HLA-DPB1,P04440,HLA-DPB1,ENSG00000237710
KIR2DS3,Q14952,KIR2DS3,ENSG00000277657
APAF1,O14727,APAF1,ENSG00000120868
PLXNA2,O75051,PLXNA2,ENSG00000076356
IFNA10,P01566,IFNA10,ENSG00000186803
DSCAM,O60469,DSCAM,ENSG00000171587
GABRA3,P34903,GABRA3,ENSG00000011677
IL1RN,P18510,IL1RN,ENSG00000136689
PRNP,P04156,PRNP,ENSG00000171867
TMPRSS6,Q8IU80,TMPRSS6,ENSG00000187045
PLD1,Q13393,PLD1,ENSG00000075651
GLI2,P10070,GLI2,ENSG00000074047
CLDN19,Q8N6F1,CLDN19,ENSG00000164007
SLC2A4,P14672,SLC2A4,ENSG00000181856
TIMP1,P01033,TIMP1,ENSG00000102265
KIR2DS2,P43631,KIR2DS2,ENSG00000274438
PLA2G10,O15496,PLA2G10,ENSG00000069764
PSMD14,O00487,PSMD14,ENSG00000115233
PLA2G1B,P04054,PLA2G1B,ENSG00000170890
ITCH,Q96J02,ITCH,ENSG00000078747
RAET1G,Q6H3X3,RAET1G,ENSG00000203722
PRKCQ,Q04759,PRKCQ,ENSG00000065675
PTPRE,P23469,PTPRE,ENSG00000132334
HSPA6,P17066,HSPA6,ENSG00000173110
IL6ST,P40189,IL6ST,ENSG00000134352
KIR2DL3,P43628,KIR2DL3,ENSG00000277924
C1QA,P02745,C1QA,ENSG00000173372
KIR3DL1,P43629,KIR3DL1,ENSG00000276423
DSG1,Q02413,DSG1,ENSG00000134760
HSP90AA1,P07900,HSP90AA1,ENSG00000080824
S100A10,P60903,S100A10,ENSG00000197747
HLA-G,P17693,HLA-G,ENSG00000204632
LPA,P08519,LPA,ENSG00000198670
MASP1,P48740,MASP1,ENSG00000127241
EBP,Q15125,EBP,ENSG00000147155
MBP,P02686,MBP,ENSG00000197971
ABI3,Q9P2A4,ABI3,ENSG00000108798
FGF7,P21781,FGF7,ENSG00000140285
IL31RA,Q8NI17,IL31RA,ENSG00000164509
GRIA1,P42261,GRIA1,ENSG00000155511
CFB,P00751,CFB,ENSG00000242335
GRB7,Q14451,GRB7,ENSG00000141738
CGB8,P0DN86,CGB8,ENSG00000213030
FLOT1,O75955,FLOT1,ENSG00000137312
IAPP,P10997,IAPP,ENSG00000121351
ITGAX,P20702,ITGAX,ENSG00000140678
ST6GAL1,P15907,ST6GAL1,ENSG00000073849
ZC3H12A,Q5D1E8,ZC3H12A,ENSG00000163874
AXL,P30530,AXL,ENSG00000167601
KIR2DL4,Q99706,KIR2DL4,ENSG00000278430
STARD13,Q9Y3M8,STARD13,ENSG00000133121
ATP1A1,P05023,ATP1A1,ENSG00000163399
PTK2,Q05397,PTK2,ENSG00000169398
BID,P55957,BID,ENSG00000015475
ATP1B1,P05026,ATP1B1,ENSG00000143153
KIR2DS4,P43632,KIR2DS4,ENSG00000274406
NMU,P48645,NMU,ENSG00000109255
GPLD1,P80108,GPLD1,ENSG00000112293
ABI2,Q9NYB9,ABI2,ENSG00000138443
ABCC1,P33527,ABCC1,ENSG00000103222
CLIC1,O00299,CLIC1,ENSG00000226651
SEMA5A,Q13591,SEMA5A,ENSG00000112902
LRRK2,Q5S007,LRRK2,ENSG00000188906
IL32,P24001,IL32,ENSG00000008517
PKN2,Q16513,PKN2,ENSG00000065243
HSPA8,P11142,HSPA8,ENSG00000109971
CLDN23,Q96B33,CLDN23,ENSG00000285098
F12,P00748,F12,ENSG00000131187
ALOX15,P16050,ALOX15,ENSG00000161905
AIF1,P55008,AIF1,ENSG00000234836
ARHGAP45,Q92619,ARHGAP45,ENSG00000180448
HLA-B,P30480,HLA-B,ENSG00000234745
MMRN1,Q13201,MMRN1,ENSG00000138722
HLA-B,P30481,HLA-B,ENSG00000228964
ADAM19,Q9H013,ADAM19,ENSG00000135074
SYK,P43405,SYK,ENSG00000165025
LGALS7,P47929,LGALS7,ENSG00000178934
EPHB3,P54753,EPHB3,ENSG00000182580
P2RX3,P56373,P2RX3,ENSG00000109991
VTCN1,Q7Z7D3,VTCN1,ENSG00000134258
PRKAA1,Q13131,PRKAA1,ENSG00000132356
PILRB,Q9UKJ0,PILRB,ENSG00000121716
FGF11,Q92914,FGF11,ENSG00000283903
KIR2DL3,P43628,KIR2DL3,ENSG00000276218
CR2,P20023,CR2,ENSG00000117322
MMP13,P45452,MMP13,ENSG00000137745
COL2A1,P02458,COL2A1,ENSG00000139219
HLA-DQB2,P05538,HLA-DQB2,ENSG00000232629
COL7A1,Q02388,COL7A1,ENSG00000114270
ACKR3,P25106,ACKR3,ENSG00000144476
KIR2DL3,P43628,KIR2DL3,ENSG00000276590
CPM,P14384,CPM,ENSG00000135678
TIMP3,P35625,TIMP3,ENSG00000100234
BMP3,P12645,BMP3,ENSG00000152785
ADAM18,Q9Y3Q7,ADAM18,ENSG00000168619
WNT3,P56703,WNT3,ENSG00000277641
CLDN15,P56746,CLDN15,ENSG00000106404
FZD5,Q13467,FZD5,ENSG00000163251
NEU1,Q99519,NEU1,ENSG00000204386
PSMA5,P28066,PSMA5,ENSG00000143106
PRKACA,P17612,PRKACA,ENSG00000072062
CD83,Q01151,CD83,ENSG00000112149
HLA-A,P30443,HLA-A,ENSG00000229215
CCL21,O00585,CCL21,ENSG00000137077
TNFSF9,P41273,TNFSF9,ENSG00000125657
RDX,P35241,RDX,ENSG00000137710
NETO2,Q8NC67,NETO2,ENSG00000171208
TRAF5,O00463,TRAF5,ENSG00000082512
CCL15,Q16663,CCL15,ENSG00000275718
LEF1,Q9UJU2,LEF1,ENSG00000138795
TXNRD1,Q16881,TXNRD1,ENSG00000198431
MMP12,P39900,MMP12,ENSG00000262406
HJV,Q6ZVN8,HJV,ENSG00000168509
HLA-A,P30447,HLA-A,ENSG00000223980
THBD,P07204,THBD,ENSG00000178726
BMP5,P22003,BMP5,ENSG00000112175
LAMA2,P24043,LAMA2,ENSG00000196569
TES,Q9UGI8,TES,ENSG00000135269
RAC2,P15153,RAC2,ENSG00000128340
FGF11,Q92914,FGF11,ENSG00000161958
CCL3L1,P16619,CCL3L1,ENSG00000277768
TRPC6,Q9Y210,TRPC6,ENSG00000137672
HLA-A,P16189,HLA-A,ENSG00000231834
APOE,P02649,APOE,ENSG00000130203
KIR3DL2,P43630,KIR3DL2,ENSG00000278809
GNAI2,P04899,GNAI2,ENSG00000114353
STAT5B,P51692,STAT5B,ENSG00000173757
IL5RA,Q01344,IL5RA,ENSG00000091181
KLRC1,P26715,KLRC1,ENSG00000134545
PLA2G12A,Q9BZM1,PLA2G12A,ENSG00000123739
ADCY5,O95622,ADCY5,ENSG00000173175
ELMO1,Q92556,ELMO1,ENSG00000155849
ANGPTL8,Q6UXH0,ANGPTL8,ENSG00000130173
ADCY2,Q08462,ADCY2,ENSG00000078295
WNT7B,P56706,WNT7B,ENSG00000188064
PDCD1,Q15116,PDCD1,ENSG00000276977
RAMP3,O60896,RAMP3,ENSG00000122679
SMARCA2,P51531,SMARCA2,ENSG00000080503
GPER1,Q99527,GPER1,ENSG00000164850
CLEC2B,Q92478,CLEC2B,ENSG00000110852
KIR3DL1,P43629,KIR3DL1,ENSG00000275288
P2RX4,Q99571,P2RX4,ENSG00000135124
NECTIN4,Q96NY8,NECTIN4,ENSG00000143217
KRT18,P05783,KRT18,ENSG00000111057
TSC1,Q92574,TSC1,ENSG00000165699
CD5,P06127,CD5,ENSG00000110448
REG3A,Q06141,REG3A,ENSG00000172016
GP6,Q9HCN6,GP6,ENSG00000277439
HLA-DPA1,P20036,HLA-DPA1,ENSG00000235844
TNIP1,Q15025,TNIP1,ENSG00000145901
IL20RA,Q9UHF4,IL20RA,ENSG00000016402
SIGLEC1,Q9BZZ2,SIGLEC1,ENSG00000088827
ANXA2,P07355,ANXA2,ENSG00000182718
PPY,P01298,PPY,ENSG00000108849
COL8A2,P25067,COL8A2,ENSG00000171812
CGNL1,Q0VF96,CGNL1,ENSG00000128849
SEMG1,P04279,SEMG1,ENSG00000124233
IL7R,P16871,IL7R,ENSG00000168685
GAS6,Q14393,GAS6,ENSG00000183087
NRG4,Q8WWG1,NRG4,ENSG00000169752
KIR2DL4,Q99706,KIR2DL4,ENSG00000275317
C4B_2,P0C0L5,C4B_2,ENSG00000236625
DEFB4B,O15263,DEFB4B,ENSG00000275444
MMP26,Q9NRE1,MMP26,ENSG00000167346
LTF,P02788,LTF,ENSG00000012223
CTHRC1,Q96CG8,CTHRC1,ENSG00000164932
CCR8,P51685,CCR8,ENSG00000179934
NRXN2,Q9P2S2,NRXN2,ENSG00000110076
PLAT,P00750,PLAT,ENSG00000104368
NCK1,P16333,NCK1,ENSG00000158092
LAMB2,P55268,LAMB2,ENSG00000172037
SDC2,P34741,SDC2,ENSG00000169439
GFRA2,O00451,GFRA2,ENSG00000168546
KIR3DL2,P43630,KIR3DL2,ENSG00000278361
ITGB7,P26010,ITGB7,ENSG00000139626
RARRES2,Q99969,RARRES2,ENSG00000106538
PYGB,P11216,PYGB,ENSG00000100994
KDM6A,O15550,KDM6A,ENSG00000147050
ENO2,P09104,ENO2,ENSG00000111674
IBSP,P21815,IBSP,ENSG00000029559
DPP4,P27487,DPP4,ENSG00000197635
KIR2DS5,Q14953,KIR2DS5,ENSG00000284111
PPM1F,P49593,PPM1F,ENSG00000100034
RSPO1,Q2MKA7,RSPO1,ENSG00000169218
AIF1,P55008,AIF1,ENSG00000204472
DSC3,Q14574,DSC3,ENSG00000134762
ITGA5,P08648,ITGA5,ENSG00000161638
FLOT1,O75955,FLOT1,ENSG00000232280
ITGA9,Q13797,ITGA9,ENSG00000144668
IGHE,P01854,IGHE,ENSG00000211891
KIRREL1,Q96J84,KIRREL1,ENSG00000183853
AREG,P15514,AREG,ENSG00000109321
HLA-C,P10321,HLA-C,ENSG00000204525
PRKG1,Q13976,PRKG1,ENSG00000185532
ABL1,P00519,ABL1,ENSG00000097007
WNK1,Q9H4A3,WNK1,ENSG00000060237
PDAP1,Q13442,PDAP1,ENSG00000106244
COL13A1,Q5TAT6,COL13A1,ENSG00000197467
LAYN,Q6UX15,LAYN,ENSG00000204381
MAPK7,Q13164,MAPK7,ENSG00000166484
FZD1,Q9UP38,FZD1,ENSG00000157240
KIR3DL3,Q8N743,KIR3DL3,ENSG00000276196
ARHGAP32,A7KAX9,ARHGAP32,ENSG00000134909
TUBB,P07437,TUBB,ENSG00000232421
COL21A1,Q96P44,COL21A1,ENSG00000124749
CRP,P02741,CRP,ENSG00000132693
FXYD5,Q96DB9,FXYD5,ENSG00000089327
C2,P06681,C2,ENSG00000206372
OLR1,P78380,OLR1,ENSG00000173391
CCL19,Q99731,CCL19,ENSG00000172724
LAMB1,P07942,LAMB1,ENSG00000091136
APOA1,P02647,APOA1,ENSG00000118137
CCL5,P13501,CCL5,ENSG00000274233
GDNF,P39905,GDNF,ENSG00000168621
PARP3,Q9Y6F1,PARP3,ENSG00000041880
XPR1,Q9UBH6,XPR1,ENSG00000143324
HLA-DMB,P28068,HLA-DMB,ENSG00000241674
LAMB4,A4D0S4,LAMB4,ENSG00000091128
TLR8,Q9NR97,TLR8,ENSG00000101916
LIN7C,Q9NUP9,LIN7C,ENSG00000148943
CD200,P41217,CD200,ENSG00000091972
PROC,P04070,PROC,ENSG00000115718
ADRB1,P08588,ADRB1,ENSG00000043591
VCP,P55072,VCP,ENSG00000165280
SEMA6D,Q8NFY4,SEMA6D,ENSG00000137872
BGN,P21810,BGN,ENSG00000182492
CNTN4,Q8IWV2,CNTN4,ENSG00000144619
KIR3DL2,P43630,KIR3DL2,ENSG00000278442
KIR2DS2,P43631,KIR2DS2,ENSG00000275452
MYH7,P12883,MYH7,ENSG00000092054
NCR1,O76036,NCR1,ENSG00000284113
NEU1,Q99519,NEU1,ENSG00000234343
KRTAP4-12,Q9BQ66,KRTAP4-12,ENSG00000213416
PAQR3,Q6TCH7,PAQR3,ENSG00000163291
WNT5A,P41221,WNT5A,ENSG00000114251
PIP,P12273,PIP,ENSG00000159763
CEACAM8,P31997,CEACAM8,ENSG00000124469
RPS2,P15880,RPS2,ENSG00000140988
KIR2DS5,Q14953,KIR2DS5,ENSG00000284217
PTPRM,P28827,PTPRM,ENSG00000173482
AMBN,Q9NP70,AMBN,ENSG00000178522
CLDN8,P56748,CLDN8,ENSG00000156284
CHRM3,P20309,CHRM3,ENSG00000133019
HGFAC,Q04756,HGFAC,ENSG00000109758
VSTM1,Q6UX27,VSTM1,ENSG00000189068
HLA-B,P30486,HLA-B,ENSG00000234745
ADRA2C,P18825,ADRA2C,ENSG00000184160
THBS1,P07996,THBS1,ENSG00000137801
ADRA2B,P18089,ADRA2B,ENSG00000274286
PLXNB2,O15031,PLXNB2,ENSG00000196576
PLD2,O14939,PLD2,ENSG00000129219
ACE,P12821,ACE,ENSG00000159640
COL19A1,Q14993,COL19A1,ENSG00000082293
LAT,O43561,LAT,ENSG00000213658
TRPV5,Q9NQA5,TRPV5,ENSG00000127412
SELL,P14151,SELL,ENSG00000188404
SH2B1,Q9NRF2,SH2B1,ENSG00000178188
CELSR3,Q9NYQ7,CELSR3,ENSG00000008300
GHRL,Q9UBU3,GHRL,ENSG00000157017
EPHA3,P29320,EPHA3,ENSG00000044524
CCL4L2,Q8NHW4,CCL4L2,ENSG00000282604
MRC2,Q9UBG0,MRC2,ENSG00000011028
MTDH,Q86UE4,MTDH,ENSG00000147649
HLA-A,P30443,HLA-A,ENSG00000224320
TGM1,P22735,TGM1,ENSG00000092295
UBA1,P22314,UBA1,ENSG00000130985
PIK3R6,Q5UE93,PIK3R6,ENSG00000276231
INHBA,P08476,INHBA,ENSG00000122641
SLIT3,O75094,SLIT3,ENSG00000184347
MT3,P25713,MT3,ENSG00000087250
SDC1,P18827,SDC1,ENSG00000115884
INPPL1,O15357,INPPL1,ENSG00000165458
HLA-DPB1,P04440,HLA-DPB1,ENSG00000236693
HLA-B,Q31610,HLA-B,ENSG00000234745
XCR1,P46094,XCR1,ENSG00000173578
RPSA,P08865,RPSA,ENSG00000168028
CCL4,P13236,CCL4,ENSG00000275302
CFB,P00751,CFB,ENSG00000243649
CTF1,Q16619,CTF1,ENSG00000150281
SHARPIN,Q9H0F6,SHARPIN,ENSG00000179526
FER,P16591,FER,ENSG00000151422
HLA-A,P16190,HLA-A,ENSG00000231834
SFRP4,Q6FHJ7,SFRP4,ENSG00000106483
CLDN18,P56856,CLDN18,ENSG00000066405
MIF,P14174,MIF,ENSG00000276701
LIMK1,P53667,LIMK1,ENSG00000106683
RYR1,P21817,RYR1,ENSG00000196218
FRK,P42685,FRK,ENSG00000111816
TNS2,Q63HR2,TNS2,ENSG00000111077
PDIA2,Q13087,PDIA2,ENSG00000185615
ATP2B4,P23634,ATP2B4,ENSG00000058668
VTN,P04004,VTN,ENSG00000109072
CCL14,Q16627,CCL14,ENSG00000276409
EZR,P15311,EZR,ENSG00000092820
AVPR2,P30518,AVPR2,ENSG00000126895
GRIN2B,Q13224,GRIN2B,ENSG00000273079
GALC,P54803,GALC,ENSG00000054983
NCR1,O76036,NCR1,ENSG00000189430
RLN1,P04808,RLN1,ENSG00000107018
ATP2B1,P20020,ATP2B1,ENSG00000070961
PLXND1,Q9Y4D7,PLXND1,ENSG00000004399
NODAL,Q96S42,NODAL,ENSG00000156574
MRGPRX3,Q96LB0,MRGPRX3,ENSG00000179826
CD74,P04233,CD74,ENSG00000019582
WNT10B,O00744,WNT10B,ENSG00000169884
F8,P00451,F8,ENSG00000185010
TRPV6,Q9H1D0,TRPV6,ENSG00000165125
IFNG,P01579,IFNG,ENSG00000111537
DLL1,O00548,DLL1,ENSG00000198719
WNT2,P09544,WNT2,ENSG00000105989
TESK2,Q96S53,TESK2,ENSG00000070759
TUBB,P07437,TUBB,ENSG00000196230
CMTM8,Q8IZV2,CMTM8,ENSG00000170293
GPC1,P35052,GPC1,ENSG00000063660
LCK,P06239,LCK,ENSG00000182866
TGM1,P22735,TGM1,ENSG00000285348
SMARCA4,P51532,SMARCA4,ENSG00000127616
PDC,P20941,PDC,ENSG00000116703
LILRB2,Q8N423,LILRB2,ENSG00000131042
EXTL3,O43909,EXTL3,ENSG00000012232
HLA-DRB1,P01911,HLA-DRB1,ENSG00000196126
LRP8,Q14114,LRP8,ENSG00000157193
LGALS7,P47929,LGALS7,ENSG00000283082
FZD2,Q14332,FZD2,ENSG00000180340
TRPM7,Q96QT4,TRPM7,ENSG00000092439
IL27,Q8NEV9,IL27,ENSG00000197272
TNFRSF18,Q9Y5U5,TNFRSF18,ENSG00000186891
FCGR3A,P08637,FCGR3A,ENSG00000203747
IFNA6,P05013,IFNA6,ENSG00000120235
KIR2DL1,P43626,KIR2DL1,ENSG00000277833
FCGR3B,O75015,FCGR3B,ENSG00000162747
PSMD3,O43242,PSMD3,ENSG00000108344
KIR2DL3,P43628,KIR2DL3,ENSG00000274952
MYLK,Q15746,MYLK,ENSG00000065534
DRD2,P14416,DRD2,ENSG00000149295
STK10,O94804,STK10,ENSG00000072786
MICB,Q29980,MICB,ENSG00000234218
LILRA4,P59901,LILRA4,ENSG00000239961
COL14A1,Q05707,COL14A1,ENSG00000187955
